Venue Name,Address,Price,Capacity,Phone,Email,Operating Hours,Google Maps,Website
MindChamps HQ @ Marina Sq.,"6 Raffles Blvd #04-100 Marina Sq.","S$368/day (8h) for Mother Teresa Room; smaller rooms from S$228/8h",~20 pax,+65 6828 2698,Via webform,"09:00-18:00 (Mon-Fri)",https://maps.google.com/?q=MindChamps+Marina+Square,https://www.mindchamps.org/venue-rental/
Queserser Event Space,"1 Upper Circular Rd #05-01",~S$78/hour (estimate),20-60 pax,+65 6444 1735,N/A,"By appointment (generally 09:00-18:00)",https://maps.google.com/?q=Queserser+1+Upper+Circular+Rd,Website under revamp
JustCo @ Marina Square,"6 Raffles Blvd #03-308 Marina Sq.",~S$50-100/hour (packages available),Various sizes,+65 6911 8891,Via website form,"Mon-Fri 08:30-18:00 (members have 24/7 access)",https://maps.google.com/?q=JustCo+Marina+Square,https://www.justcoglobal.com/sg/centre/marina-square/
WeWork (Funan Mall),109 North Bridge Rd,"~S$12 per seat/hour (~S$180/hour for 15 ppl)",Various sizes,800-321-1488,Via WeWork app/website,"24/7 access for members (staffed 09:00-18:00 weekdays)",https://maps.google.com/?q=WeWork+Funan+Singapore,https://www.wework.com/buildings/109-north-bridge-rd--singapore
Peninsula Excelsior (Wyndham),5 Coleman St,"From ~S$15/hour for 10-15 pax space",15-20 pax,+65 6337 2200,pe.reserve@ytchotels.com.sg,"24/7 Hotel (function rooms 07:00-23:00 by request)",https://maps.google.com/?q=Wyndham+Peninsula+Excelsior+Singapore,https://www.wyndhamhotels.com/wyndham/singapore-singapore/peninsula-excelsior-singapore/overview
The Arts House (Old Parliament) - Council Room,1 Old Parliament Ln,"S$100/hour (min 2h)",~12 pax boardroom,+65 6908 8810,venues@artshouse.sg,"Daily 10:00-22:00 (closed PH)",https://maps.google.com/?q=The+Arts+House+Singapore,https://www.artshouse.sg/venue-hire
Raffles City Convention Centre,80 Bras Basah Rd,"~S$100++/pax for full-day corporate package (custom pricing)",34 meeting rooms various sizes,+65 6431 5560,conventions.singapore@fairmont.com,"24/7 for confirmed events (hotel support 07:00-23:00 daily)",https://maps.google.com/?q=Raffles+City+Convention+Centre,https://www.fairmont-singapore.com/meetings-events/
O2Work @ Odeon Towers,"331 North Bridge Rd #22-01/02",~S$50/hour for medium rooms (estimate),~15 pax boardroom,+65 8179 8261,sales@o2-work.com,"24/7 access (members); staff Mon-Fri 09:00-18:00",https://maps.google.com/?q=O2Work+Odeon+Towers,https://www.o2-work.com/
The Capitol Kempinski Hotel,15 Stamford Rd,Bespoke packages (premium) - contact for quote,~20 pax boardroom,+65 6368 8888,reservation.singapore@kempinski.com,"24/7 Hotel (events by arrangement)",https://maps.google.com/?q=Capitol+Kempinski+Hotel+Singapore,https://www.kempinski.com/en/the-capitol-singapore/meetings-events
Raffles Hotel Singapore - Boardroom,1 Beach Rd,Premium full-service meeting packages (on request),Up to ~20 pax,+65 6337 1886,singapore@raffles.com,"24/7 Hotel (events by arrangement)",https://maps.google.com/?q=Raffles+Hotel+Singapore,https://www.raffles.com/singapore/meeting-events/meetings/
The Great Room (Raffles Arcade),"328 North Bridge Rd #02-20","~S$3000/day for 18-pax studio",8-40 pax,Via website form,Via website form,"Mon-Fri 09:00-18:00 (members 24/7)",https://maps.google.com/?q=The+Great+Room+Raffles+Arcade,https://thegreatroom.co/coworking-spaces-singapore/raffles-arcade
Workcentral (Dhoby Ghaut),"190 Clemenceau Ave #06-01",~S$100/hour (Board Room 16-18 pax); smaller rooms ~S$50/hr,16-18 pax,+65 6708 8200,hello@workcentral.com.sg,"Mon-Fri 09:00-18:00 (closed Sat/Sun & PH)",https://maps.google.com/?q=Workcentral+Singapore+Shopping+Centre,https://www.workcentral.com.sg/
National Library "The POD","100 Victoria St, NLB Lvl 16","S$545 half-day / S$1280 full-day (GST incl.)",Up to ~100 pax (theater),+65 6332 3255,helpdesk@nlb.gov.sg,"Tue-Sun 10:00-21:00 (closed Mon/PH)",https://maps.google.com/?q=The+POD+National+Library+Singapore,https://www.nlb.gov.sg/Services/Spaces/BookAVenue
Regus - Centennial Tower,"3 Temasek Ave, Marina Centre","From ~S$45/hour (small rooms); ~S$95/hour (12-pax room)",Various sizes,+65 6222 5333,enquiry.asia@regus.com,"Mon-Fri 08:30-18:00 (closed Sat/Sun)",https://maps.google.com/?q=Regus+Centennial+Tower+Singapore,https://www.regus.com/en-sg
YMCA @ One Orchard,1 Orchard Rd,From ~S$80/hour (20 pax setup),Up to ~40 pax,+65 6336 6000,booking@ymca.org.sg,"Daily 07:00-23:00 (by booking; hostel 24/7)",https://maps.google.com/?q=YMCA+One+Orchard+Singapore,https://www.ymca.org.sg/programmes/facilities-event-space
HomeTeamNS @ Funan,"67 Hill St, Funan Mall","From S$937.40/4h (public); S$708.50/4h (members)",~15 pax (partitioned from 120sqm hall),+65 6708 6600,enquiry@hometeamns.sg,"Daily 10:00-20:00 (extended hours possible)",https://maps.google.com/?q=HomeTeamNS+Funan+Singapore,https://www.hometeamns.sg
