id,name,address,status,district,capacity,capacityDisplay,price,priceDisplay,hourlyRate,hours,phone,email,website,mapUrl,gallery,virtualTour,notes,lat,lng
raffles-boardroom,Raffles Hotel Singapore - Boardroom,1 Beach Rd,,city-hall,,—,,Contact,,24/7 Hotel (events by arrangement),+65 6337 1886,singapore@raffles.com,https://www.raffles.com/singapore/meeting-events/meetings/,https://maps.google.com/?q=Raffles+Hotel+Singapore,,,,1.294941,103.8543027
raffles-casuarina,Raffles Hotel Singapore - Casuarina Suite,"1 Beach Road, Singapore 189673",,city-hall,,—,,Contact,,24/7 (Hotel property),+65 6337 1886,singapore@raffles.com,https://www.raffles.com/singapore,https://maps.google.com/?q=Raffles+Hotel+Singapore,,,,1.294941,103.8543027
raffles-east-india,Raffles Hotel Singapore - East India Room,"1 Beach Road, Singapore 189673",,city-hall,,—,,Contact,,24/7 (Hotel property),+65 6337 1886,singapore@raffles.com,https://www.raffles.com/singapore,https://maps.google.com/?q=Raffles+Hotel+Singapore,,,,1.294941,103.8543027
peninsula-excelsior,Peninsula Excelsior (Wyndham),5 Coleman St,emailed,city-hall,,—,,Contact,,24/7 Hotel (function rooms 07:00-23:00 by request),+65 6337 2200,pe.reserve@ytchotels.com.sg,https://www.wyndhamhotels.com/wyndham/singapore-singapore/peninsula-excelsior-singapore/overview,https://maps.google.com/?q=Wyndham+Peninsula+Excelsior+Singapore,,,,1.2919781,103.8503909
national-gallery,National Gallery Singapore - Seminar Rooms,"1 St Andrew's Road, Singapore 178957",emailed,city-hall,,—,,Contact,,Daily: 10:00 AM - 7:00 PM,+65 6271 0213,Submit enquiry form,https://www.nationalgallery.sg/sg/en/about/venue-rental/seminar-rooms.html,https://maps.google.com/?q=National+Gallery+Singapore,,,,1.2902557,103.8514709
national-library,"National Library ""The POD""","100 Victoria St, NLB Lvl 16",,city-hall,,—,,Contact,,Tue-Sun 10:00-21:00 (closed Mon/PH),+65 6332 3255,helpdesk@nlb.gov.sg,https://www.nlb.gov.sg/Services/Spaces/BookAVenue,https://maps.google.com/?q=The+POD+National+Library+Singapore,,,,1.2975,103.8545
arts-house,The Arts House (Old Parliament) - Council Room,1 Old Parliament Ln,,city-hall,,—,,Contact,,Daily 10:00-22:00 (closed PH),+65 6908 8810,venues@artshouse.sg,https://www.artshouse.sg/venue-hire,https://maps.google.com/?q=The+Arts+House+Singapore,,,,1.2886695,103.851099
lionsworld,Lionsworld Business Centre,"111 North Bridge Road, Peninsula Plaza, Singapore",,city-hall,,—,,Contact,,Mon-Fri: 9:00 AM - 6:00 PM,+65 6338 0090,Via Tagvenue,https://www.tagvenue.com/sg/rooms/singapore/27576/lionsworld-business-centre/conference-room,https://maps.google.com/?q=111+North+Bridge+Road+Singapore,,,,1.2923249,103.8508298
mit-space,MIT Space Premium City Hall,"111 North Bridge Road, Peninsular Plaza #06-34, Singapore",,city-hall,100,100 pax,14000,"S$14,000",,Mon-Fri: 9:00 AM - 6:00 PM,Via Tagvenue,Via Tagvenue platform,https://www.tagvenue.com/sg/rooms/singapore/84305/main-office-mit-space-premium-city-hall/mit-universe,https://maps.google.com/?q=111+North+Bridge+Road+Peninsular+Plaza+Singapore,,,,1.2923,103.8508
spaces-city-hall,Spaces City Hall,"410 North Bridge Road, Singapore 188726",,city-hall,,—,,Contact,,Mon-Fri: 8:30 AM - 5:00 PM,+91 33 6136 3847,Via website booking,https://www.spacesworks.com/singapore/city-hall/meeting-rooms/,https://maps.google.com/?q=410+North+Bridge+Road+Singapore,,,,1.2967174,103.8545721
hive-north-bridge,The Hive North Bridge Road,"36 North Bridge Road, City Hall, Singapore",,city-hall,,14 pax,,Contact,,Mon-Fri: 9:00 AM - 6:00 PM,+65 6817 3277,singapore@thehive.com,https://www.tagvenue.com/sg/rooms/singapore/48249/the-hive-north-bridge-road/14-pax-meeting-room,https://maps.google.com/?q=The+Hive+North+Bridge+Road+Singapore,,,,1.2897707,103.8497566
great-room-raffles,The Great Room (Raffles Arcade),328 North Bridge Rd #02-20,,city-hall,,—,,Contact,,Mon-Fri 09:00-18:00 (members 24/7),Via website form,Via website form,https://thegreatroom.co/coworking-spaces-singapore/raffles-arcade,https://maps.google.com/?q=The+Great+Room+Raffles+Arcade,,,,1.2960226,103.8542164
o2work,O2Work @ Odeon Towers,331 North Bridge Rd #22-01/02,,city-hall,12,12 pax,4800,"S$4,800",120,24/7 access (members); staff Mon-Fri 09:00-18:00,+65 8179 8261,sales@o2-work.com,https://www.o2-work.com/,https://maps.google.com/?q=O2Work+Odeon+Towers,,,,1.2961,103.854
wework-funan,WeWork (Funan Mall),109 North Bridge Rd,,city-hall,,—,8004,"S$8,004",667,9:30 AM - 5:30 PM (8 Hours),800-321-1488,Via WeWork app/website,https://www.wework.com/buildings/109-north-bridge-rd--singapore,https://maps.google.com/?q=WeWork+Funan+Singapore,,,,1.2914066,103.8494056
109-north-bridge,109 North Bridge Rd,"109 North Bridge Rd, Singapore",available,city-hall,18,18 pax,8640,"S$8,640",1080,9:30 AM - 5:30 PM (8 Hours),NA,NA,NA,,,,Max capacity from Room 05A,1.2914066,103.8494056
justco-marina,JustCo @ Marina Square,6 Raffles Blvd #03-308 Marina Sq.,waiting,marina,,—,8500,"S$8,500",,Mon-Fri 08:30-18:00 (members have 24/7 access),+65 6911 8891,Via website form,https://www.justcoglobal.com/sg/centre/marina-square/,https://maps.google.com/?q=JustCo+Marina+Square,,,,1.2912,103.8571
mindchamps,MindChamps HQ @ Marina Sq.,6 Raffles Blvd #04-100 Marina Sq.,,marina,15,15+ pax,3150,"S$3,150",,09:00-18:00 (Mon-Fri),+65 6828 2698,Via webform,https://www.mindchamps.org/venue-rental/,https://maps.google.com/?q=MindChamps+Marina+Square,,,,1.2912,103.8571
regus-centennial,Regus - Centennial Tower,"3 Temasek Ave, Marina Centre",,marina,,—,,Contact,,Mon-Fri 08:30-18:00 (closed Sat/Sun),+65 6222 5333,enquiry.asia@regus.com,https://www.regus.com/en-sg,https://maps.google.com/?q=Regus+Centennial+Tower+Singapore,,,,1.2934139,103.8602867
exec-centre-mbfc,The Executive Centre - Marina Bay Financial Centre,"8 Marina Boulevard, Tower 1, Singapore 018981",,marina,,—,9000,"S$9,000",180,Mon-Fri: 9:00 AM - 6:00 PM,+852 2168 0838,Contact form,https://www.executivecentre.com/locations/singapore-city/meeting-conference-rooms-in-singapore/,https://maps.google.com/?q=Marina+Bay+Financial+Centre+Singapore,,,,1.2801328,103.8541795
justco-central,JustCo @ Central Plaza,"Central Plaza, Singapore CBD",,cbd,,—,8500,"S$8,500",,24/7,+65 6225 9688,Via website,https://www.justcoglobal.com/sg/solutions/meeting-rooms/,https://maps.google.com/?q=JustCo+Central+Plaza+Singapore,,,,1.2794,103.8534
regus-cbd,Regus Singapore CBD,"Various CBD locations, Singapore",,cbd,,—,,Contact,,Mon-Fri: 8:30 AM - 6:00 PM,+44 800 279 7131,Via website,https://www.regus.com/en-us/singapore/coworking,https://maps.google.com/?q=Regus+Singapore+CBD,,,,1.2842356,103.8511698
rnn-ces,RNN Conference Centre - CES Centre,"171 Chin Swee Road, CES Centre, Singapore",,cbd,,—,,Contact,,Mon-Fri: 9:00 AM - 6:00 PM,+65 9796 8716,info@rnn.com.sg,https://rnn.com.sg/room-rental/,https://maps.google.com/?q=171+Chin+Swee+Road+Singapore,,,,1.286713,103.8401569
rnn-gb,RNN Conference Centre - GB Building,"143 Cecil Street, GB Building, Singapore",,cbd,,—,,Contact,,Mon-Fri: 9:00 AM - 6:00 PM,+65 9796 8716,info@rnn.com.sg,https://rnn.com.sg/room-rental/,https://maps.google.com/?q=143+Cecil+Street+Singapore,,,,1.278763,103.8480566
venuesquare,VenueSquare Cecil Building,"137 Cecil Street, #04-01, Singapore 069537",,cbd,,—,,Contact,,Mon-Fri: 9:00 AM - 6:00 PM,+65 8829 8322,sales@rnn.com.sg,https://www.venuesquare.com/meeting-room-rental-singapore/,https://maps.google.com/?q=137+Cecil+Street+Singapore,,,,1.2796646,103.8483369
exec-centre-orq,The Executive Centre - One Raffles Quay,"1 Raffles Quay, North Tower, Singapore 048583",,cbd,,—,10900,"S$10,900",180,Mon-Fri: 9:00 AM - 6:00 PM,+852 2168 0838,Contact form,https://www.executivecentre.com/office-space/one-raffles-quay/,https://maps.google.com/?q=One+Raffles+Quay+Singapore,,,,1.2807,103.852
wework-robinson,WeWork 71 Robinson Road,"71 Robinson Road, Singapore 068895",,cbd,,—,8004,"S$8,004",667,9:30 AM - 5:30 PM (8 Hours),+65 6816 5500,Via website,https://www.wework.com/buildings/71-robinson-rd--singapore,https://maps.google.com/?q=71+Robinson+Road+Singapore,,,,1.2783395,103.8487748
n9-tanjong,N9 Offices - Training Room (Tanjong Pagar),"7 Wallich Street, Tanjong Pagar, Singapore",,cbd,15,15 pax,9600,"S$9,600",,Mon-Fri: 9:00 AM - 6:00 PM | Sat: 9:00 AM - 3:00 PM,+65 8555 6147,Via Tagvenue platform,https://www.tagvenue.com/sg/rooms/singapore/55371/n9-offices-tanjong-pagar/training-room,https://maps.google.com/?q=N9+Offices+Tanjong+Pagar+Singapore,,,,1.2773993,103.8458182
9-battery,9 Battery Rd,"9 Battery Rd, Singapore",available,cbd,20,20 pax,9600,"S$9,600",1200,9:30 AM - 5:30 PM (8 Hours),NA,NA,NA,,,,Max capacity from Room 15A / 28A,1.2847796,103.8524119
21-collyer,21 Collyer Quay,"21 Collyer Quay, Singapore",available,cbd,14,14 pax,6720,"S$6,720",840,9:30 AM - 5:30 PM (8 Hours),NA,NA,NA,,,,Max capacity from Room 02C,1.2830628,103.8523899
30-raffles,30 Raffles Place,"30 Raffles Place, Singapore",available,cbd,16,16 pax,7680,"S$7,680",960,9:30 AM - 5:30 PM (8 Hours),NA,NA,NA,,,,Max capacity from Room 12B,1.2841645,103.8519646
city-house,City House,"City House, Singapore",available,cbd,12,12 pax,5760,"S$5,760",720,9:30 AM - 5:30 PM (8 Hours),NA,NA,NA,,,,Max capacity from Room 2A,1.2812333,103.8497732
suntec-5,Suntec Tower 5,"Suntec Tower 5, Singapore",available,cbd,20,20 pax,9600,"S$9,600",1200,9:30 AM - 5:30 PM (8 Hours),NA,NA,NA,,,,Max capacity from Room 17G / 18D,1.2945258,103.8579722
beach-centre,Beach Centre,"Beach Centre, Singapore",available,cbd,24,24 pax,11520,"S$11,520",1440,9:30 AM - 5:30 PM (8 Hours),NA,NA,NA,,,,Max capacity from Room 1A,1.2958006,103.855498
71-robinson,71 Robinson Rd,"71 Robinson Rd, Singapore",available,cbd,12,12 pax,5760,"S$5,760",720,9:30 AM - 5:30 PM (8 Hours),NA,NA,NA,,,,Max capacity from Room 13G,1.2783395,103.8487748
60-anson,60 Anson Rd,"60 Anson Rd, Singapore",available,cbd,18,18 pax,8640,"S$8,640",1080,9:30 AM - 5:30 PM (8 Hours),NA,NA,NA,,,,Max capacity from Room 17F,1.2746286,103.845131
exec-centre-fre,The Executive Centre - Farser,"1 Raffles Quay, North Tower, Singapore 048583",,cbd,,—,1814,"S$1,814",180,Mon-Fri: 9:00 AM - 6:00 PM,+852 2168 0838,Contact form,https://www.executivecentre.com/office-space/one-raffles-quay/,https://maps.google.com/?q=One+Raffles+Quay+Singapore,,,,1.2807,103.852
ymca,YMCA @ One Orchard,1 Orchard Rd,,orchard,,—,,Contact,,Daily 07:00-23:00 (by booking; hostel 24/7),+65 6336 6000,booking@ymca.org.sg,https://www.ymca.org.sg/programmes/facilities-event-space,https://maps.google.com/?q=YMCA+One+Orchard+Singapore,,,,1.2976347,103.8481401
workcentral,Workcentral (Dhoby Ghaut),190 Clemenceau Ave #06-01,,orchard,,—,,Contact,,Mon-Fri 09:00-18:00 (closed Sat/Sun & PH),+65 6708 8200,hello@workcentral.com.sg,https://www.workcentral.com.sg/,https://maps.google.com/?q=Workcentral+Singapore+Shopping+Centre,,,,1.2981147,103.8441112
expo-opal,Singapore EXPO – Opal Room,"1 Expo Drive, #02-01, Singapore 486150",responded,expo,15,15 pax,18480,"S$18,480",2310,08:00–22:00 daily; 24h possible with overtime,+65 9821 1987,shanna.chia@constellar.co,https://www.singaporeexpo.com.sg/,https://maps.google.com/?q=Singapore+EXPO,Provided via brochure,https://www.singaporeexpo.com.sg/organise-an-event/virtual-tour,1 Opal room available; boardroom setup; projector and screen included; room can be held 2 weeks at no charge; aircon only 08:00–22:00; overtime applies 22:00–08:00,1.335,103.9617
hometeamns,HomeTeamNS @ Funan,"67 Hill St, Funan Mall",pass,other,,—,,Contact,,Daily 10:00-20:00 (extended hours possible),+65 6708 6600,enquiry@hometeamns.sg,https://www.hometeamns.sg,https://maps.google.com/?q=HomeTeamNS+Funan+Singapore,,,Pass - bit leisure,1.2914,103.8494
380-jalan-besar,380 Jalan Besar,"380 Jalan Besar, Singapore",available,other,12,12 pax,5760,"S$5,760",720,9:30 AM - 5:30 PM (8 Hours),NA,NA,NA,,,,Max capacity from Room 15B,1.3130844,103.860476
